Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Obama,Romney,Undecided,Other,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Politico/GWU/Battleground,2012-11-04,2012-11-05,2012-11-06T08:40:26Z,1000,Likely Voters,Live Phone,47.0,47.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16674,http://www.politico.com/news/stories/1112/83380.html,Nonpartisan,None,,1
YouGov/Economist,2012-11-03,2012-11-05,2012-11-26T15:31:23Z,740,Likely Voters,Internet,49.0,47.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-16733,http://cdn.yougov.com/cumulus_uploads/document/6pkdh10fns/econToplines.pdf,Nonpartisan,None,,1
Gravis Marketing,2012-11-03,2012-11-05,2012-11-06T09:22:02Z,872,Likely Voters,Automated Phone,48.0,48.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/gravis-marketing-16681,http://www.gravispolls.com/2012/11/gravis-marketing-national-poll-shows.html,Nonpartisan,None,,1
IBD/TIPP,2012-11-03,2012-11-05,2012-11-06T08:51:48Z,712,Likely Voters,Live Phone,50.0,49.0,,1.0,https://elections.huffingtonpost.com/pollster/polls/ibd-tipp-16679,http://news.investors.com/special-report/508415-ibdtipp-poll.aspx,Nonpartisan,None,,1
Rasmussen,2012-11-03,2012-11-05,2012-11-06T08:47:50Z,1500,Likely Voters,Automated Phone,48.0,49.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-16677,http://www.rasmussenreports.com/public_content/politics/obama_administration/daily_presidential_tracking_poll,Nonpartisan,None,,1
JZ Analytics/Newsmax,2012-11-03,2012-11-05,2012-11-06T07:38:41Z,1041,Likely Voters,Internet,47.0,47.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/jz-analytics-newsmax-16670,http://www.jzanalytics.com/,Sponsor,Rep,,1
UPI/CVOTER,2012-11-03,2012-11-05,2012-11-05T18:30:15Z,3000,Likely Voters,Live Phone,49.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/upi-cvoter-16669,"",Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-11-01,2012-11-05,2012-11-05T16:12:48Z,4725,Likely Voters,Internet,48.0,46.0,4.0,2.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-16655,http://big.assets.huffingtonpost.com/ipsos110512.pdf,Nonpartisan,None,,1
ARG,2012-11-02,2012-11-04,2012-11-05T13:06:54Z,1200,Likely Voters,Live Phone,49.0,49.0,1.0,1.0,https://elections.huffingtonpost.com/pollster/polls/arg-16636,http://americanresearchgroup.com/pres2012/NA12.html,Nonpartisan,None,,1
PPP (D-Americans United for Change),2012-11-02,2012-11-04,2012-11-04T22:32:19Z,1200,Likely Voters,Automated Phone,50.0,48.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16610,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_113.pdf,Sponsor,Dem,,1
CNN,2012-11-02,2012-11-04,2012-11-04T20:16:09Z,693,Likely Voters,Live Phone,49.0,49.0,2.0,,https://elections.huffingtonpost.com/pollster/polls/cnn-16606,http://i2.cdn.turner.com/cnn/2012/images/11/04/top16.pdf,Nonpartisan,None,,1
ABC/Post,2012-11-01,2012-11-04,2012-11-05T16:56:22Z,2345,Likely Voters,Live Phone,50.0,47.0,1.0,1.0,https://elections.huffingtonpost.com/pollster/polls/abc-post-16658,http://www.washingtonpost.com/blogs/the-fix/wp/2012/11/05/wapo-abc-tracking-poll-final-weekend-tally-is-obama-50-romney-47-still-a-margin-of-error-contest/,Nonpartisan,None,,1
Gallup,2012-11-01,2012-11-04,2012-11-05T13:48:29Z,2551,Likely Voters,Live Phone,48.0,49.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-16641,http://www.gallup.com/poll/157817/election-2012-likely-voters-trial-heat-obama-romney.aspx,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-11-01,2012-11-04,2012-11-05T13:31:31Z,1300,Likely Voters,Automated Phone,50.0,48.0,2.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-16640,http://www.dailykos.com/weeklypolling/2012/11/1,Sponsor,Dem,,1
Monmouth,2012-11-01,2012-11-04,2012-11-05T12:52:03Z,1417,Likely Voters,IVR/Live Phone,48.0,48.0,2.0,2.0,https://elections.huffingtonpost.com/pollster/polls/monmouth-16634,http://cms.monmouth.edu/assets/0/84/159/2147483694/c8af3c69-d7c7-4f41-9749-99d4fa948484.pdf,Nonpartisan,None,,1
Democracy Corps (D),2012-11-01,2012-11-04,2012-11-05T09:41:50Z,1080,Likely Voters,Live Phone,49.0,45.0,,1.0,https://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-16617,http://big.assets.huffingtonpost.com/demcorpstracker.pdf,Pollster,Dem,,1
